"sku","name","short_description","description","type","attribute_set","store","websites","color","size","weight","price","tax_class_id","status","visibility","qty","is_qty_decimal","is_in_stock","image","small_image","thumbnail","media_gallery"
"DUSG-003-L-Olive","Pench Men's","Pench Men's","Pench Men's","simple","Wears",,"base","Olive","L",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-003-M-Olive","Pench Men's","Pench Men's","Pench Men's","simple","Wears",,"base","Olive","M",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-003-S-Olive","Pench Men's","Pench Men's","Pench Men's","simple","Wears",,"base","Olive","S",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-003-XL-Olive","Pench Men's","Pench Men's","Pench Men's","simple","Wears",,"base","Olive","XL",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-004-10-Olive","Pench Boy's","Pench Boy's","Pench Boy's","simple","Wears",,"base","Olive","10",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-004-12-Olive","Pench Boy's","Pench Boy's","Pench Boy's","simple","Wears",,"base","Olive","12",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-004-8-Olive","Pench Boy's","Pench Boy's","Pench Boy's","simple","Wears",,"base","Olive","8",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-L-Aqua_Blue","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Aqua Blue","L",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-L-Beige","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Beige","L",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-M-Aqua_Blue","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Aqua Blue","M",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-M-Beige","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Beige","M",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-S-Aqua_Blue","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Aqua_Blue","S",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-S-Beige","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Beige","S",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-XL-Aqua_Blue","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Aqua Blue","XL",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-005-XL-Beige","Bandhavgarh","Bandhavgarh","Bandhavgarh","simple","Wears",,"base","Beige","XL",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-006-L-Beige_All_over_printed","Ranthambhore Men's Shorts","Ranthambhore Men's Shorts","Ranthambhore Men's Shorts","simple","Wears",,"base","Beige All over printed","L",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
"DUSG-006-M-Beige_All_over_printed","Ranthambhore Men's Shorts","Ranthambhore Men's Shorts","Ranthambhore Men's Shorts","simple","Wears",,"base","Beige All over printed","M",100,1500,0,"Enabled","Not Visible Individually",0,0,"In Stock",,,,
