"sku","qty"
"DUSG-041-M-Natural",0
"DUSG-041-S-Aqua",0
"DUSG-041-S-Natural",0
"DUSG-041-XL-Aqua",0
"DUSG-041-XL-Natural",0
"DUSG-041-XXL-Aqua",0
"DUSG-041-XXL-Natural",0
"DUSG-042-L-Aqua",26
"DUSG-042-L-Narutal",1
"DUSG-042-M-Aqua",7
"DUSG-042-M-Narutal",2
"DUSG-042-S-Aqua",0
"DUSG-042-S-Narutal",1
"DUSG-042-XL-Aqua",3
"DUSG-042-XL-Narutal",3
"DUSG-042-XXL-Aqua",6
"DUSG-042-XXL-Narutal",8
"DUSG-043-L-Coral",28
"DUSG-043-L-Natural",26
"DUSG-043-M-Coral",19
"DUSG-043-M-Natural",22
"DUSG-043-S-Coral",0
"DUSG-043-S-Natural",0
"DUSG-043-XL-Coral",21
"DUSG-043-XL-Natural",25
"DUSG-043-XXL-Coral",17
"DUSG-043-XXL-Natural",20
"DUSG-044-L-Coral",22
"DUSG-044-L-Natural",19
"DUSG-044-M-Coral",8
"DUSG-044-M-Natural",13
"DUSG-044-S-Coral",0
"DUSG-044-S-Natural",0
"DUSG-044-XL-Coral",20
"DUSG-044-XL-Natural",23
"DUSG-044-XXL-Coral",24
"DUSG-044-XXL-Natural",22
"DUSG-045-L-Natural",0
"DUSG-045-M-Natural",0
"DUSG-045-XL-Natural",0
"DUSG-046-L-Blue_-_All_over_Printed",0
"DUSG-046-M-Blue_-_All_over_Printed",0
"DUSG-046-XL-Blue_-_All_over_Printed",0
"DUSG-047-L-Beetroot",0
"DUSG-047-L-Linen",0
"DUSG-047-L-Methi",0
"DUSG-047-L-Natural",0
"DUSG-047-L-Pudina",0
"DUSG-047-M-Beetroot",0
"DUSG-047-M-Linen",0
"DUSG-047-M-Methi",0
"DUSG-047-M-Natural",0
"DUSG-047-M-Pudina",0
"DUSG-047-XL-Beetroot",0
"DUSG-047-XL-Linen",0
"DUSG-047-XL-Methi",0
"DUSG-047-XL-Natural",0
"DUSG-047-XL-Pudina",0
"DUSG-048-L-Natural",0
"DUSG-048-M-Natural",0
"DUSG-048-S-Natural",0
"DUSG-048-XL-Natural",0
"DUSG-048-XXL-Natural",0
"DUSG-049-L-Red_",0
